乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
貴士	名詞,固有名詞,人名,名,*,*,貴士,タカシ,タカシ
（	記号,括弧開,*,*,*,*,（,（,（
い	動詞,自立,*,*,一段,連用形,いる,イ,イ
ぬい	動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,ぬく,ヌイ,ヌイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
1988	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
6	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
2	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
-	名詞,サ変接続,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
滋賀	名詞,固有名詞,地域,一般,*,*,滋賀,シガ,シガ
県	名詞,接尾,地域,*,*,*,県,ケン,ケン
近江八幡	名詞,固有名詞,地域,一般,*,*,近江八幡,オウミハチマン,オーミハチマン
市	名詞,接尾,地域,*,*,*,市,シ,シ
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
プロ	名詞,一般,*,*,*,*,プロ,プロ,プロ
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
。	記号,句点,*,*,*,*,。,。,。
リーガ・エスパニョーラ・デポルティーボ・アラベス	名詞,一般,*,*,*,*,*
所属	名詞,サ変接続,*,*,*,*,所属,ショゾク,ショゾク
。	記号,句点,*,*,*,*,。,。,。
ポジション	名詞,一般,*,*,*,*,ポジション,ポジション,ポジション
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ミッドフィールダー	名詞,一般,*,*,*,*,*
、	記号,読点,*,*,*,*,、,、,、
フォワード	名詞,一般,*,*,*,*,フォワード,フォワード,フォワード
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
